address,opcode_bin,mnemonic,step,Z,C,signals,rom1_hex,rom2_hex
0,0000,NOP,0,0,0,IROM_OUT+IR_IN+PC_INC,F2,DC
1,0000,NOP,0,0,1,IROM_OUT+IR_IN+PC_INC,F2,DC
2,0000,NOP,0,1,0,IROM_OUT+IR_IN+PC_INC,F2,DC
3,0000,NOP,0,1,1,IROM_OUT+IR_IN+PC_INC,F2,DC
4,0000,NOP,1,0,0,(none),DB,DC
5,0000,NOP,1,0,1,(none),DB,DC
6,0000,NOP,1,1,0,(none),DB,DC
7,0000,NOP,1,1,1,(none),DB,DC
8,0000,NOP,2,0,0,(none),DB,DC
9,0000,NOP,2,0,1,(none),DB,DC
10,0000,NOP,2,1,0,(none),DB,DC
11,0000,NOP,2,1,1,(none),DB,DC
12,0000,NOP,3,0,0,(none),DB,DC
13,0000,NOP,3,0,1,(none),DB,DC
14,0000,NOP,3,1,0,(none),DB,DC
15,0000,NOP,3,1,1,(none),DB,DC
16,0001,LOAD,0,0,0,IROM_OUT+IR_IN+PC_INC,F2,DC
17,0001,LOAD,0,0,1,IROM_OUT+IR_IN+PC_INC,F2,DC
18,0001,LOAD,0,1,0,IROM_OUT+IR_IN+PC_INC,F2,DC
19,0001,LOAD,0,1,1,IROM_OUT+IR_IN+PC_INC,F2,DC
20,0001,LOAD,1,0,0,IROM_OUT+MAR_IN+PC_INC,EA,DC
21,0001,LOAD,1,0,1,IROM_OUT+MAR_IN+PC_INC,EA,DC
22,0001,LOAD,1,1,0,IROM_OUT+MAR_IN+PC_INC,EA,DC
23,0001,LOAD,1,1,1,IROM_OUT+MAR_IN+PC_INC,EA,DC
24,0001,LOAD,2,0,0,RAM_OUT+REG_IN,D9,DE
25,0001,LOAD,2,0,1,RAM_OUT+REG_IN,D9,DE
26,0001,LOAD,2,1,0,RAM_OUT+REG_IN,D9,DE
27,0001,LOAD,2,1,1,RAM_OUT+REG_IN,D9,DE
28,0001,LOAD,3,0,0,(none),DB,DC
29,0001,LOAD,3,0,1,(none),DB,DC
30,0001,LOAD,3,1,0,(none),DB,DC
31,0001,LOAD,3,1,1,(none),DB,DC
32,0010,STORE,0,0,0,IROM_OUT+IR_IN+PC_INC,F2,DC
33,0010,STORE,0,0,1,IROM_OUT+IR_IN+PC_INC,F2,DC
34,0010,STORE,0,1,0,IROM_OUT+IR_IN+PC_INC,F2,DC
35,0010,STORE,0,1,1,IROM_OUT+IR_IN+PC_INC,F2,DC
36,0010,STORE,1,0,0,IROM_OUT+MAR_IN+PC_INC,EA,DC
37,0010,STORE,1,0,1,IROM_OUT+MAR_IN+PC_INC,EA,DC
38,0010,STORE,1,1,0,IROM_OUT+MAR_IN+PC_INC,EA,DC
39,0010,STORE,1,1,1,IROM_OUT+MAR_IN+PC_INC,EA,DC
40,0010,STORE,2,0,0,REG_OUT+RAM_IN,DF,D8
